date,time,distance,route,bike
4/14/19,90 minutes,20 miles,Maynard loop,Road
4/16/19,80 minutes,18.75 miles,Maynard loop,Road
4/18/19,120 minutes,15 miles,Stow loop,MTB
4/21/19,75 minutes,18.75 miles,home -> CA,Road
4/21/19,80 minutes,18.75 miles,CA -> home,Road
4/23/19,80 minutes,18.75 miles,Maynard loop,Road
4/27/19,85 minutes,20 miles,Maynard loop,Commute
5/1/19,95 minutes,18.75 miles,home -> CA,Commute
5/1/19,85 minutes,18.75 miles,CA -> home,Commute
5/8/19,85 minutes,18.75 miles,home -> CA,Commute
5/8/19,75 minutes,18.75 miles,CA -> home,Commute
5/15/19,82 minutes,18.75 miles,home -> CA,Commute
5/15/19,73 minutes,18.75 miles,CA -> home,Commute
5/22/19,80 minutes,18.75 miles,home -> CA,Commute
5/22/19,73 minutes,18.75 miles,CA -> home,Commute
5/29/19,79 minutes,18.75 miles,home -> CA,Commute
5/29/19,74 minutes,18.75 miles,CA -> home,Commute
6/5/19,73 minutes,18.75 miles,home -> CA,Commute
6/5/19,72 minutes,18.75 miles,CA -> home,Commute
6/12/19,75 minutes,18.75 miles,home -> CA,Commute
6/12/19,70 minutes,18.75 miles,CA -> home,Commute
6/26/19,79 minutes,18.75 miles,home -> CA,Commute
6/26/19,78 minutes,20 miles,CA -> home,Commute
7/2/19,79 minutes,18.75 miles,home -> CA,Commute
7/2/19,73 minutes,18.75 miles,CA -> home,Commute
7/4/19,30 minutes,8.25 miles,home -> Potter,Road
